Date,Open,High,Low,Close,Adj Close,Volume
6/22/2018,108.160004,108.370003,105.510002,105.75,105.178436,19478900
6/25/2018,105.660004,105.699997,103.959999,104.790001,104.223625,16907600
6/26/2018,104.709999,105.209999,103.110001,104.860001,104.293243,17086800
6/27/2018,104.68,105.919998,103.230003,103.239998,102.681999,16276800
6/28/2018,103.68,105.459999,103.510002,104.93,104.362862,14491300
6/29/2018,106.68,106.900002,104.150002,104.199997,103.63681,18972400
7/2/2018,103.720001,105.089996,103.379997,105.080002,104.512054,11130000
7/3/2018,105.410004,105.779999,103.519997,103.610001,103.050003,8311700
7/5/2018,104.129997,104.379997,103.529999,103.720001,103.720001,10723400
7/6/2018,103.120003,104.5,102.199997,104.059998,104.059998,12173700
7/9/2018,104.709999,107.459999,104.709999,107.279999,107.279999,13893500
